This is the image for the control of the quadrotor without the payload.
Using:
  policy_stepsize = 0.0001
  discount_factor = 0.90
  policy_change = 0.01
  MAX_STEPS = 5000
  <max_step_size>0.01</max_step_size>
  <real_time_update_rate>0</real_time_update_rate>









## Value of policy over pegasus runs. Took about 20 mins
-12082.2
-2.28227 [1.22466, -1.26568, 0.0816506, -0.0599326, 0.0775508, 0.0101425, 0.0379157, 0.0275426]


## Value of policy over pegasus runs. With payload (3 joints). Stochastic wind max=5m/s
-6.56602 [1.1828, -1.16999, 0.0353817, 0.000461248, 0.035379, 0.000461396, 0.0433383, 0.00054321]
-3.40359 [1.18269, -1.16992, 0.0356636, 0.000249125, 0.0355512, 0.000890067, 0.0436285, 0.000598888]
-5.59082 [1.18276, -1.17018, 0.0359163, 0.000420358, 0.0359467, 0.000795397, 0.0438752, 0.000657673]
-4.08416 [1.18283, -1.17029, 0.0361512, 0.000370853, 0.0362106, 0.00079515, 0.0439666, 0.000558671]
-4.62333 [1.18285, -1.17049, 0.0362139, 0.000424437, 0.0364363, 0.000925459, 0.044371, 0.00074725]
-3.56158 [1.18292, -1.1706, 0.0366046, 0.000359286, 0.0366811, 0.000903902, 0.0446967, 0.000843078]
-2.93935 [1.18279, -1.17053, 0.036851, 0.000164184, 0.0367865, 0.0012636, 0.0449608, 0.000896506]

## Value of policy over pegasus runs. With payload (3 joints). no Stochastic wind
-4.30868 [1.1828, -1.16999, 0.0353817, 0.00046124, 0.035379, 0.000461396, 0.0433383, 0.00054321]
-4.10416 [1.18283, -1.17029, 0.0361512, 0.000370853, 0.0362106, 0.00079515, 0.0439666, 0.000558671]
-4.06887 [1.1828, -1.16999, 0.0360681, 0.000529484, 0.0360304, 0.000460643, 0.043988, 0.0005671]
-3.88498 [1.1828, -1.16999, 0.036389, 0.0005574, 0.0363456, 0.000465394, 0.0442981, 0.000578665]
-3.70158 [1.18282, -1.1706, 0.0366046, 0.000559286, 0.0366811, 0.000465902, 0.0443967, 0.00057078]
-3.71239 [1.1828, -1.16999, 0.0370094, 0.000622641, 0.0369247, 0.000462653, 0.0448888, 0.000600804]
-3.54855 [1.1828, -1.16999, 0.0373003, 0.000649312, 0.0372072, 0.000465857, 0.0451716, 0.000611551]
-3.47926 [1.1828, -1.16999, 0.0375883, 0.00068204, 0.0374722, 0.000465199, 0.0454462, 0.00062197]
-3.42121 [1.1828, -1.16999, 0.0378648, 0.000711044, 0.0377252, 0.000460371, 0.045713, 0.000632125]
-3.33281 [1.1828, -1.16999, 0.0381301, 0.00073624, 0.037965, 0.000451704, 0.0459727, 0.000642067]
-3.19419 [1.1828, -1.16999, 0.0383882, 0.000761322, 0.03821, 0.000452264, 0.0462257, 0.000651868]
-3.15019 [1.1828, -1.16999, 0.0386441, 0.000791086, 0.0384401, 0.000448999, 0.0464723, 0.00066141]
-3.11616 [1.1828, -1.16999, 0.0388901, 0.000817406, 0.0386602, 0.000441706, 0.0467128, 0.000670725]
-2.95744 [1.18281, -1.16999, 0.0391361, 0.000849966, 0.0388791, 0.000442147, 0.0469473, 0.000679914]
-2.92585 [1.18281, -1.16999, 0.0393731, 0.000879496, 0.0390889, 0.000438963, 0.0471764, 0.000688912]
-2.90394 [1.18281, -1.16999, 0.0396011, 0.000905742, 0.0392901, 0.000432005, 0.0474004, 0.000697704]
-2.89622 [1.18281, -1.16999, 0.0398035, 0.000934425, 0.0394881, 0.00042881, 0.0476191, 0.000706365]
